latitude,longitude,magType,nst,earthquake_id,type,magNst,magSource
52.0999,178.5218,ml,14,50000,earthquake,14,us
7.1397,126.738,mb,32,50001,earthquake,43,us
19.1631,-66.5251,md,23,50002,earthquake,16,pr
-4.7803,102.7675,mb,17,50003,earthquake,5,us
53.3965,-166.9417,ml,19,50004,earthquake,18,us
19.2811,-155.4282,ml,19,50005,earthquake,36,us
-19.0419,-177.5423,mb,15,50006,earthquake,6,us
-15.3219,-174.8756,mb,40,50007,earthquake,34,us
40.7038333,-124.2061667,md,30,50008,earthquake,35,nc
2.4752,128.6389,mb,27,50009,earthquake,18,us
51.461,-177.4797,ml,23,50010,earthquake,10,us
36.5958333,-121.2001667,ml,67,50011,earthquake,58,nc
-15.1473,66.7962,mb,20,50012,earthquake,14,us
36.595,-121.2063333,mw,70,50013,earthquake,5,nc
52.557,-166.9914,mb,50,50014,earthquake,26,us
-6.2816,154.6952,mb,35,50015,earthquake,31,us
52.6145,-166.9988,ml,19,50016,earthquake,14,us
52.4985,-166.8818,ml,14,50017,earthquake,14,us
23.9374,122.5711,mb,39,50018,earthquake,23,us
17.83033333,-65.9855,md,8,50019,earthquake,7,pr
17.9266,-66.9146,md,27,50020,earthquake,22,pr
35.8168333,-121.3523333,md,42,50021,earthquake,44,nc
18.2065,-67.11733333,md,26,50022,earthquake,10,pr
18.6319,120.9637,mb,36,50023,earthquake,20,us
10.069,126.5571,mb,21,50024,earthquake,12,us
36.691,76.9958,mb,46,50025,earthquake,25,us
17.9275,-66.9091,md,26,50026,earthquake,19,pr
52.247,-168.3156,ml,18,50027,earthquake,16,us
-21.2221,-68.9621,mb,28,50028,earthquake,10,us
-12.8831,166.3007,mb,14,50029,earthquake,6,us
49.7491,150.7474,mb,55,50030,earthquake,79,us
51.0929,-176.2184,ml,10,50031,earthquake,6,us
52.2879,-168.3001,ml,19,50032,earthquake,16,us
51.117,-176.3119,ml,13,50033,earthquake,6,us
52.2072,-168.2739,ml,13,50034,earthquake,12,us
31.71729206,-104.2797612,ml,26,50035,earthquake,35,tx
51.3584,-176.4942,ml,13,50036,earthquake,6,us
32.6028333,-117.9698333,ml,27,50037,earthquake,91,ci
19.14016667,-156.197,ml,52,50038,earthquake,40,hv
2.0751,128.135,mb,20,50039,earthquake,8,us
-3.4567,131.0209,mb,30,50040,earthquake,22,us
18.7635,145.3291,mb,71,50041,earthquake,67,us
31.68425514,-104.421101,ml,35,50042,earthquake,26,tx
29.7295,70.1934,mb,33,50043,earthquake,12,us
-21.3126,-67.2105,mb,47,50044,earthquake,18,us
31.3366,140.9507,mb,55,50045,earthquake,25,us
38.0399,72.3573,mb,26,50046,earthquake,7,us
52.1243,-170.3677,ml,8,50047,earthquake,8,us
-19.0542,-177.6062,mb,78,50048,earthquake,38,us
18.3643,-68.3946,md,22,50049,earthquake,16,pr
-4.5724,151.7111,mb,21,50050,earthquake,12,us
-6.1642,130.3662,mb,14,50051,earthquake,7,us
37.051,135.2387,mb,108,50052,earthquake,67,us
19.3601,-65.7256,md,14,50053,earthquake,4,pr
-2.493,140.7385,mb,19,50054,earthquake,9,us
6.8279,-73.0877,mb,14,50055,earthquake,6,us
-7.7223,123.317,mb,14,50056,earthquake,7,us
52.356,-168.3292,mb,138,50057,earthquake,51,us
10.5549,-62.3692,mb,65,50058,earthquake,37,us
33.3975,-116.3898333,ml,114,50059,earthquake,84,ci
9.3909,126.0204,mb,26,50060,earthquake,15,us
52.1943,-168.3152,ml,17,50061,earthquake,14,us
52.3012,-168.3514,ml,13,50062,earthquake,16,us
50.6602,-175.2714,ml,12,50063,earthquake,6,us
54.4969,-159.5794,ml,22,50064,earthquake,18,us
17.94783333,-66.9085,md,22,50065,earthquake,16,pr
27.5974,90.3069,mb,59,50066,earthquake,41,us
52.1979,-168.2216,mb,49,50067,earthquake,33,us
54.157,-164.3023,ml,21,50068,earthquake,14,us
41.9737,142.5635,mb,107,50069,earthquake,65,us
-22.3734,-179.5312,mb,50,50070,earthquake,38,us
-18.9878,167.6221,mb,11,50071,earthquake,5,us
-63.4601,171.7815,mb,17,50072,earthquake,12,us
-5.8015,101.4021,mb,14,50073,earthquake,4,us
-63.3763,171.7509,mb,11,50074,earthquake,7,us
24.0154,121.7126,mb,23,50075,earthquake,5,us
-24.1203,-66.9233,mb,84,50076,earthquake,147,us
63.1493,-150.4226,ml,,50077,earthquake,,ak
17.9633,-67.0076,ml,31,50078,earthquake,20,pr
17.94633333,-67.0085,md,5,50079,earthquake,5,pr
17.96616667,-67.00916667,md,9,50080,earthquake,6,pr
52.8439,-162.1708,mb,69,50081,earthquake,6,us
17.87983333,-66.958,md,32,50082,earthquake,19,pr
59.8343,-153.4076,ml,,50083,earthquake,,ak
35.729,25.8377,mb,90,50084,earthquake,62,us
59.929,-151.5805,ml,,50085,earthquake,,ak
52.6752,-169.1013,ml,15,50086,earthquake,14,us
41.1875,140.2171,mb,92,50087,earthquake,46,us
43.3718,-127.738,ml,37,50088,earthquake,78,us
43.3989,-127.2682,mb,72,50089,earthquake,15,us
23.5489,142.4252,mb,17,50090,earthquake,7,us
31.6774117,-104.4135009,ml,28,50091,earthquake,28,tx
51.3743,-177.885,ml,12,50092,earthquake,8,us
31.68706615,-104.413051,ml,30,50093,earthquake,24,tx
18.98283333,-67.18883333,md,22,50094,earthquake,9,pr
16.0955,-95.5745,mb,63,50095,earthquake,57,us
60.2614,-153.429,ml,,50096,earthquake,,ak
19.14566667,-67.251,md,10,50097,earthquake,6,pr
17.96133333,-67.00466667,md,14,50098,earthquake,11,pr
-31.3613,-68.2466,mb,43,50099,earthquake,31,us
19.16066742,-155.3523407,md,35,50100,earthquake,4,hv
36.1405,21.6628,mb,31,50101,earthquake,9,us
52.2995,-175.8328,ml,16,50102,earthquake,10,us
51.3249,-179.536,mb,82,50103,earthquake,64,us
53.8527,-164.0014,ml,16,50104,earthquake,10,us
31.8534,131.5447,mb,36,50105,earthquake,14,us
51.8651,-175.1889,ml,11,50106,earthquake,6,us
36.5797,142.4842,mb,49,50107,earthquake,21,us
-9.0813,40.6115,mb,15,50108,earthquake,5,us
-7.0518,125.3116,mb,75,50109,earthquake,58,us
12.6191,143.3343,mb,46,50110,earthquake,44,us
-8.3498,112.6405,mb,23,50111,earthquake,9,us
52.3579,-168.4712,mb,71,50112,earthquake,41,us
9.7528,-69.6309,mb,53,50113,earthquake,37,us
36.009,139.9001,mb,54,50114,earthquake,32,us
43.8095,-105.2956,ml,14,50115,mining explosion,52,us
35.531,25.8574,mb,44,50116,earthquake,26,us
18.20283333,-67.14466667,md,32,50117,earthquake,17,pr
10.8119,91.5945,mb,40,50118,earthquake,21,us
19.24449921,-155.4095001,ml,42,50119,earthquake,30,hv
3.5828,127.107,mb,37,50120,earthquake,28,us
-17.8422,-178.4887,mb,26,50121,earthquake,16,us
-2.5003,140.9669,mb,15,50122,earthquake,8,us
5.3792,97.0686,mb,33,50123,earthquake,16,us
-7.5835,127.5134,mb,13,50124,earthquake,7,us
19.15916667,-66.522,md,20,50125,earthquake,14,pr
55.5136,162.0419,mb,78,50126,earthquake,55,us
-2.4043,140.7873,mb,38,50127,earthquake,23,us
37.371,-118.368,ml,27,50128,earthquake,24,nc
-8.2412,107.9549,mb,64,50129,earthquake,47,us
-16.0098,-75.0248,mb,36,50130,earthquake,6,us
10.8475,95.1111,mb,16,50131,earthquake,6,us
31.72723056,-104.5184535,ml,17,50132,earthquake,13,tx
18.9597,145.067,mb,83,50133,earthquake,96,us
35.5026667,-118.3831667,ml,65,50134,earthquake,45,ci
10.7847,95.0957,mb,20,50135,earthquake,6,us
3.6361,124.5139,mb,21,50136,earthquake,12,us
42.1147,80.921,mb,17,50137,earthquake,5,us
-22.1015,170.1577,mb,17,50138,earthquake,7,us
8.4265,126.6748,mb,21,50139,earthquake,7,us
51.5795,-174.6199,ml,12,50140,earthquake,6,us
18.36983333,-66.343,md,16,50141,earthquake,4,pr
-18.287,-70.0597,mb,23,50142,earthquake,8,us
57.0358,-147.7838,ml,32,50143,earthquake,27,us
18.5491,-66.8916,md,22,50144,earthquake,15,pr
17.95783333,-66.845,md,11,50145,earthquake,6,pr
51.6061,178.6525,ml,13,50146,earthquake,6,us
-20.8277,-177.8009,mb,20,50147,earthquake,14,us
45.8784,-27.6336,mb,57,50148,earthquake,38,us
19.22533333,-66.50166667,md,22,50149,earthquake,14,pr
-2.4909,140.8952,mb,15,50150,earthquake,7,us
-16.9179,-72.4467,mb,21,50151,earthquake,4,us
56.1712,-161.4957,ml,35,50152,earthquake,10,us
18.82683333,-65.035,md,8,50153,earthquake,3,pr
41.8058333,-111.9253333,ml,17,50154,earthquake,9,uu
53.4026,-166.9113,ml,13,50155,earthquake,14,us
40.1091667,-120.9998333,md,21,50156,earthquake,45,nc
53.7752,-165.4867,ml,32,50157,earthquake,22,us
58.5106,-156.2819,ml,,50158,earthquake,,ak
-7.6475,127.7746,mb,18,50159,earthquake,8,us
-17.962,-178.327,mb,43,50160,earthquake,22,us
41.7976667,-111.9216667,ml,14,50161,earthquake,9,uu
